Expanded display is on.
id,shape_type,display_name,category,subcategory,description,source,priority,seo_keywords,canonical_url,is_active,created_at,updated_at,asset_value_usd,token_id,energy_hash,energy_rank,normalized_energy,pattern_discoveries,cross_learn_connections,base_energy,onchain_tx_hash,mint_status,erc20_contract_address,morph_parameters,last_morph_at
1949,letter-t,Letter T (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-t,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1951,letter-v,Letter V (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-v,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1953,letter-x,Letter X (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-x,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1957,mri_signal_intensity,🏥 MRI Signal Intensity Surface,medical,medical,Parametric surface,formula_sync,0.8,"medical, UUON, parametric surface",/shapes/mri-signal-intensity,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x6593F6fB0457e0F269ce5600Fb21698f9cF80246,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1959,voxel_density_field,🏥 Voxel Density Field,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/voxel-density-field,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xbaFad8b3Df1F771dF608d0740D077D9E123FBE0b,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1963,mpr_oblique_plane,🏥 MPR Oblique Plane,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/mpr-oblique-plane,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x1268E15cCfe4Fb83b570f74fD04e5821Fbb6D727,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1965,parallax_occlusion_surface,🏥 Parallax Occlusion Surface,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/parallax-occlusion-surface,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xCf13496e83BEDa637D1566E1DB6e6d53A141c56D,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1967,isosurface_marching_cubes,🏥 Isosurface (Marching Cubes),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/isosurface-marching-cubes,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x64aCF1310cc154936B79b871fDf1509c106312b0,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1969,maximum_intensity_projection,🏥 Maximum Intensity Projection (MIP),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/maximum-intensity-projection,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x9c7e1A278653f9cAa69E3DB1c4f7FdE004ed67B2,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1665,adaptive_pattern_processor,Adaptive Pattern Processor,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/adaptive-pattern-processor,t,2026-06-12T23:56:15.036Z,2026-06-12T23:56:15.036Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x4078462cf9a980b04543e8e03F0c597DC9a9Dd3b,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1450,particle_cluster_aggregation,🔘 Particle-Cluster Aggregation,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/particle-cluster-aggregation,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xB6D2ed328F0E1bAfd3E7eca3E7F58c0b794f6982,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1587,pi_bond_surface,Pi Bond Surface,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/pi-bond-surface,t,2026-06-12T23:56:08.473Z,2026-06-12T23:56:08.473Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xBF347D0987dF32D672e7E5e7A83a41812c03E7Ce,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1731,uuon-energy-state-loop,UUON Energy State Loop,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/uuon-energy-state-loop,t,2026-06-12T23:56:15.036Z,2026-06-12T23:56:15.036Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xaC0bB95f1F251a1F060B442D51e6998CCa89c3E6,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1809,volume_scaling_manifold,Volume Scaling Manifold (J=4),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/volume-scaling-manifold,t,2026-06-12T23:56:21.595Z,2026-06-12T23:56:21.595Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xdB5B100c479d0ac2Bd813193b0E32D50a9739484,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1582,d_orbital,D Orbital (l=2),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/d-orbital,t,2026-06-12T23:56:08.473Z,2026-06-12T23:56:08.473Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x254f51e119D6e05aE721908F8e3273fAd2F94194,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1614,spike_shell_armor,🦔 Spike Shell Armor - z³ + tan(z) + log(z²+1) + c,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/spike-shell-armor,t,2026-06-12T23:56:08.473Z,2026-06-12T23:56:08.473Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x9af37d91cF58fa820fDf4e46E13535F8B2df4a64,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1938,letter-i,Letter I (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-i,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1468,snowflake_dendrite,Dendrite Snowflake,crystallographic,crystallographic,Parametric surface,formula_sync,0.8,"crystallographic, UUON, parametric surface",/shapes/snowflake-dendrite,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xe9ea545825B02eD623200dcC0187453a64374BDb,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1470,snowflake_koch,Koch Snowflake Fractal,crystallographic,crystallographic,Parametric surface,formula_sync,0.8,"crystallographic, UUON, parametric surface",/shapes/snowflake-koch,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xe9ea545825B02eD623200dcC0187453a64374BDb,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1590,valence_shell,Valence Shell,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/valence-shell,t,2026-06-12T23:56:08.473Z,2026-06-12T23:56:08.473Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xBF2106dcE2240F96661bb34E1DaEC29dF41537a2,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
2003,rubiks_group_orbit,Rubik's Group Orbit,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/rubiks-group-orbit,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x23A5f0955bc792768DA9f7d6b48d3DA53a08a886,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
2007,rubiks_corner_orientation,Rubik's Corner Orientation,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/rubiks-corner-orientation,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x23A5f0955bc792768DA9f7d6b48d3DA53a08a886,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
2043,efv_emergent_stability,✨ EFV Emergent Stability,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/efv-emergent-stability,t,2026-06-12T23:56:41.248Z,2026-06-12T23:56:41.248Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xE62B644FcC62F62486680CD9f2Bd91BADaaA1346,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
2077,alchemy_mercury,☿ Mercury (Alchemy),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/alchemy-mercury,t,2026-06-12T23:56:41.248Z,2026-06-12T23:56:41.248Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xF69846E3A1905bcB230f3747356191eC52A9526f,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
2093,alchemy_aqua_regia,👑 Aqua Regia,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/alchemy-aqua-regia,t,2026-06-12T23:56:41.248Z,2026-06-12T23:56:41.248Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xF69846E3A1905bcB230f3747356191eC52A9526f,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1583,f_orbital,F Orbital (l=3),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/f-orbital,t,2026-06-12T23:56:08.473Z,2026-06-12T23:56:08.473Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x26956f10657958b89428E7BF8d574e39955950EF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
525,hybrid_classical_quantum,Hybrid Classical Quantum,quantum-machine-learning,Quantum Machine Learning,Hybrid Classical Quantum - Quantum Machine Learning mathematical visualization,frontend,0.8,"Hybrid Classical Quantum, Quantum Machine Learning, mathematical visualization, 3D geometry, parametric surface",/shape/hybrid_classical_quantum,t,2025-12-04T10:34:40.589Z,2025-12-04T10:34:40.589Z,677.375566,,,,,0,0,55000000000000000000000000000000,,success,0xEb6a4894B1867312D0DA2629ae95dEf559A7321F,"{""day"": 7, ""p2_amp"": ""20.111222"", ""p4_res"": 78.171547}",2026-06-13 15:48:43.026066+00
2108,alchemy_vinegar,🍶 Vinegar,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/alchemy-vinegar,t,2026-06-12T23:56:41.248Z,2026-06-12T23:56:41.248Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xF69846E3A1905bcB230f3747356191eC52A9526f,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
542,economic_activity_system,Economic Activity System,ten_percent_systems,10% Systems,Economic Activity System - 10% Systems mathematical visualization,frontend,0.8,"Economic Activity System, 10% Systems, mathematical visualization",/shape/economic_activity_system,t,2025-12-04T10:38:14.652Z,2025-12-04T10:38:14.652Z,677.375566,,,,,0,0,55000000000000000000000000000000,,success,0xA0E0957588211F8fF83f185cfc80E6cf54DC720c,"{""day"": 7, ""p2_amp"": ""20.111222"", ""p4_res"": 78.171547}",2026-06-13 15:48:43.026066+00
543,social_data_system,Social Data System,ten_percent_systems,10% Systems,Social Data System - 10% Systems mathematical visualization,frontend,0.8,"Social Data System, 10% Systems, mathematical visualization",/shape/social_data_system,t,2025-12-04T10:38:14.652Z,2025-12-04T10:38:14.652Z,677.375566,,,,,0,0,55000000000000000000000000000000,,success,0xe884B94d755F3c48Ed36453eb14aF5de01775d4C,"{""day"": 7, ""p2_amp"": ""20.111222"", ""p4_res"": 78.171547}",2026-06-13 15:48:43.026066+00
2131,alchemy_soot,⬛ Soot,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/alchemy-soot,t,2026-06-12T23:56:41.248Z,2026-06-12T23:56:41.248Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xF69846E3A1905bcB230f3747356191eC52A9526f,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
2169,n_dimensional_sphere,N Dimensional Sphere,Missing Shapes,Missing Shapes,Parametric surface equation,formula_sync,0.8,"Missing Shapes, UUON, parametric surface",/shapes/n-dimensional-sphere,t,2026-06-12T23:56:47.830Z,2026-06-12T23:56:47.830Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xBa7fDf823421bCdC7565dCBAD260c69DD3d20C04,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1499,fractal_wave_interference,Wave Interference Field,fractal,fractal,Parametric surface,formula_sync,0.8,"fractal, UUON, parametric surface",/shapes/fractal-wave-interference,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x8327AB60C22e36B45801F18283E30B1e1356795e,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1519,tetrahedral_numbers,🔻 Tetrahedral Numbers - Tet(n) = n(n+1)(n+2)/6,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/tetrahedral-numbers,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xe09D2CE1E1504E998339106a03A2f767a5A27F41,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1521,repunit_generator,1️⃣ Repunit Generator - R(n) = (10ⁿ-1)/9,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/repunit-generator,t,2026-06-12T23:56:01.905Z,2026-06-12T23:56:01.905Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x0164Bc223fae5c4A2CC80DC2C550AC901e63fc3d,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1581,p_orbital,P Orbital (l=1),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/p-orbital,t,2026-06-12T23:56:08.473Z,2026-06-12T23:56:08.473Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xE6f891A581934f1836A6B05f8C72b323B3686d57,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1971,windowing_function,🏥 CT Windowing Function,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/windowing-function,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xaf84BeA16bE7f47de194464F4c88D06703680099,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1944,letter-o,Letter O (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-o,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1946,letter-q,Letter Q (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-q,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1948,letter-s,Letter S (Linguistic Geometry),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/letter-s,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x292FdbC4FE2167ad9ae933aa5312B35d56D772dF,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1966,hounsfield_unit_surface,🏥 Hounsfield Unit Surface,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/hounsfield-unit-surface,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x6E547b9E61895fe0ca607B65b20F322915bEbD1d,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1968,ray_casting_volume,🏥 Ray Casting Volume,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/ray-casting-volume,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xdD82b9C64Ef84325a99f69e7D0FF201531699cF5,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1970,surface_shaded_display,🏥 Surface Shaded Display (SSD),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/surface-shaded-display,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xfd45298AD7F190665cF0c06719964eB6B8E67199,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1972,diffusion_tensor_imaging,🏥 Diffusion Tensor Imaging (DTI),general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/diffusion-tensor-imaging,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x90baE2C48455071dc3899052Ef4F8b0813BC1F38,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1973,fractional_anisotropy,🏥 Fractional Anisotropy Surface,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/fractional-anisotropy,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0x8327AB60C22e36B45801F18283E30B1e1356795e,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1974,fiber_tractography,🏥 Fiber Tractography,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/fiber-tractography,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xE704B45B6DFacEf8fd09930C8c40341E36c49bd7,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1994,slinky_wave_equation,Slinky Wave Equation,general,general,Parametric surface,formula_sync,0.8,"general, UUON, parametric surface",/shapes/slinky-wave-equation,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xfA0580A877812a47276E383efB6F194CA8305aeA,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
1975,dicom_slice_interpolation,🏥 DICOM Slice Interpolation,crystallographic,crystallographic,Parametric surface,formula_sync,0.8,"crystallographic, UUON, parametric surface",/shapes/dicom-slice-interpolation,t,2026-06-12T23:56:34.690Z,2026-06-12T23:56:34.690Z,792.428860,,,,,0,0,55000000000000000000000000000000,,success,0xa6089Deb0Ec923fa05ab7324d32004ec939A607E,"{""day"": 6, ""p2_amp"": 35.359260, ""p4_res"": 69.161326}",2026-06-13 15:48:40.190171+00
